date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:34	10578/10578	---M--	200	added ('OK')	image/jpeg	etag:%222952-5a9a9c4ed3380%22	https://preview.colorlib.com/theme/rezume/images/p6.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/p6.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:34	24340/24340	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/rezume/images/xperson_1.jpg.pagespeed.ic.GydziS3-18.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xperson_1.jpg.pagespeed.ic.GydziS3-18.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:35	15860/15860	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/rezume/images/xperson_2.jpg.pagespeed.ic.MslkzLtZPn.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xperson_2.jpg.pagespeed.ic.MslkzLtZPn.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:35	14229/14229	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/rezume/images/xperson_3.jpg.pagespeed.ic.wXLK-eZZil.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xperson_3.jpg.pagespeed.ic.wXLK-eZZil.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:35	35932/35932	---M--	200	added ('OK')	image/jpeg	etag:%228c5c-5a9a9c50bb800%22	https://preview.colorlib.com/theme/rezume/images/person_4.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/person_4.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:35	210860/210860	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:25%20GMT	https://preview.colorlib.com/theme/rezume/images/xpost_1.jpg.pagespeed.ic.Sc_dMeDZzW.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xpost_1.jpg.pagespeed.ic.Sc_dMeDZzW.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:36	57226/57226	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:25%20GMT	https://preview.colorlib.com/theme/rezume/images/xpost_2.jpg.pagespeed.ic.T6M_TBKDzN.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xpost_2.jpg.pagespeed.ic.T6M_TBKDzN.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:36	46232/46232	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:26%20GMT	https://preview.colorlib.com/theme/rezume/images/xpost_3.jpg.pagespeed.ic.opyPvzZvR7.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xpost_3.jpg.pagespeed.ic.opyPvzZvR7.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:36	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263232acb-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/hp/Desktop/4/4/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:36	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:W/%221538e-5a9a9c7ba5d40-gzip%22	https://preview.colorlib.com/theme/rezume/js/vendor/jquery.min.js	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/js/vendor/jquery.min.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:36	92867/92867	---MCZ	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://preview.colorlib.com/theme/rezume/js/vendor/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js+jquery.easing.1.3.js.pagespeed.jc.uxxkex28sQ.js	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/js/vendor/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js+jquery.easing.1.3.js.pagespeed.jc.uxxkex28sQ.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:37	29943/29943	---MCZ	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://preview.colorlib.com/theme/rezume/js/vendor,_jquery.stellar.min.js+vendor,_jquery.waypoints.min.js+custom.js.pagespeed.jc.pnQHqVD1q2.js	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/js/vendor,_jquery.stellar.min.js+vendor,_jquery.waypoints.min.js+custom.js.pagespeed.jc.pnQHqVD1q2.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:37	136/136	---MCZ	302	error ('Found')	text/html	date:Tue,%2020%20Sep%202022%2009:14:37%20GMT	https://unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.js	C:/Users/hp/Desktop/4/4/unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.1b.delayed	(from https://preview.colorlib.com/theme/rezume/)
13:14:37	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:%228a75-xOWZTyTujI0s8tZgLwtWuQlqLpg%22	https://unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	C:/Users/hp/Desktop/4/4/unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:37	66/66	---MCZ	302	error ('Found')	text/plain	date:Tue,%2020%20Sep%202022%2009:14:38%20GMT	https://unpkg.com/imagesloaded@4/imagesloaded.pkgd.min.js	C:/Users/hp/Desktop/4/4/unpkg.com/imagesloaded@4/imagesloaded.pkgd.min.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:38	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:%2215da-bT4RF04iZo5p3yNuXEVCFo98v+w%22	https://unpkg.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	C:/Users/hp/Desktop/4/4/unpkg.com/imagesloaded@4.1.4/imagesloaded.pkgd.min.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:38	212300/212300	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2233d4c-5a9a9ca96c940%22	https://preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon.eot?1z9v6x	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon1ff5.eot	(from https://preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css)
13:14:38	212136/212136	---MCZ	200	added ('OK')	font/ttf	etag:W/%2233ca8-5a9a9ca690280%22	https://preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon.ttf?1z9v6x	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon1ff5.ttf	(from https://preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css)
13:14:39	212212/212212	---M--	200	added ('OK')	font/woff	etag:%2233cf4-5a9a9ca7844c0%22	https://preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon.woff?1z9v6x	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon1ff5.woff	(from https://preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css)
13:14:39	737352/737352	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b4048-5a9a9ca4a7e00%22	https://preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon.svg?1z9v6x	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/fonts/icomoon/fonts/icomoon1ff5.svg	(from https://preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css)
